data	al	cu	ni	zn
1999M4	1277.850	1463.725	5054.750	1018.18
1999M5	1323.132	1510.447	5395.789	1039.92
1999M6	1315.523	1422.159	5194.773	999.91
1999M7	1403.364	1639.182	5696.364	1071.23
1999M8	1421.690	1646.738	6431.429	1129.69
1999M9	1492.068	1749.682	7029.091	1192.93
1999M10	1473.333	1723.286	7317.619	1147.98
1999M11	1472.432	1726.773	7946.818	1146.39
1999M12	1554.735	1764.882	8073.235	1185.24
2000M1	1679.850	1843.850	8315.250	1178.58
2000M2	1679.425	1807.025	9583.750	1098.25
2000M3	1579.640	1739.800	10255.400	1113.00
2000M4	1458.745	1681.908	9746.500	1132.52
2000M5	1468.065	1785.098	10122.913	1154.07
2000M6	1509.373	1752.073	8384.318	1116.19
2000M7	1564.376	1803.143	8174.810	1135.91
2000M8	1530.335	1857.124	8038.435	1172.55
2000M9	1602.310	1961.893	8624.810	1221.67
2000M10	1501.245	1894.373	7650.636	1091.61
2000M11	1475.555	1795.602	7350.591	1058.68
2000M12	1569.055	1852.400	7318.800	1059.33
2001M1	1619.877	1787.057	6975.909	1032.70
2001M2	1607.030	1766.125	6546.800	1021.58
2001M3	1512.173	1742.159	6165.182	1005.62
2001M4	1499.483	1665.972	6363.111	970.14
2001M5	1542.390	1684.850	7086.476	937.96
2001M6	1470.833	1610.469	6674.333	896.93
2001M7	1418.623	1526.770	5962.545	853.30
2001M8	1377.845	1466.411	5525.636	830.03
2001M9	1345.995	1427.697	5057.650	799.51
2001M10	1283.530	1377.376	4830.783	761.74
2001M11	1334.455	1434.293	5131.318	774.35
2001M12	1348.724	1472.847	5315.824	757.97
2002M1	1371.364	1508.227	6061.364	794.20
2002M2	1371.080	1561.368	6039.950	773.47
2002M3	1404.985	1607.393	6543.200	820.00
2002M4	1370.386	1588.571	6956.810	807.58
2002M5	1344.427	1597.023	6771.182	768.25
2002M6	1356.933	1650.594	7147.611	769.42
2002M7	1337.865	1588.285	7137.696	795.01
2002M8	1293.357	1482.917	6736.857	748.81
2002M9	1301.700	1478.933	6664.952	756.18
2002M10	1311.461	1486.172	6818.913	755.09
2002M11	1373.267	1581.036	7314.810	764.57
2002M12	1375.862	1592.964	7206.333	794.26
2003M1	1379.268	1650.311	8032.807	782.32
2003M2	1421.535	1682.145	8607.900	785.64
2003M3	1386.524	1655.693	8339.619	790.30
2003M4	1334.290	1587.868	7930.525	756.73
2003M5	1400.398	1651.100	8347.725	776.10
2003M6	1410.517	1685.107	8839.024	790.64
2003M7	1440.880	1712.826	8831.700	828.48
2003M8	1457.225	1756.725	9359.875	815.20
2003M9	1416.577	1789.670	9995.773	818.92
2003M10	1477.224	1925.583	11040.283	900.08
2003M11	1511.585	2053.275	12052.375	914.21
2003M12	1557.779	2202.036	14185.210	976.76
2004M1	1608.893	2421.476	15089.333	1015.89
2004M2	1685.225	2751.718	15099.350	1085.79
2004M3	1657.354	3000.283	13786.543	1101.80
2004M4	1731.680	2926.975	12725.900	1028.91
2004M5	1625.250	2728.461	11228.605	1030.96
2004M6	1682.030	2689.045	13599.364	1018.84
2004M7	1707.841	2816.795	15020.068	988.08
2004M8	1692.071	2844.202	13639.619	976.77
2004M9	1731.000	2903.170	13430.364	980.00
2004M10	1830.357	3009.405	14378.476	1066.93
2004M11	1817.341	3130.309	14089.512	1100.20
2004M12	1852.910	3139.786	13764.976	1182.12
2005M1	1836.175	3168.100	14563.750	1245.53
2005M2	1882.775	3247.100	15415.600	1323.08
2005M3	1987.500	3378.905	16239.905	1373.93
2005M4	1891.988	3389.810	16138.333	1297.79
2005M5	1741.450	3241.900	17002.250	1245.51
2005M6	1731.943	3529.727	16113.182	1273.10
2005M7	1783.262	3608.476	14587.595	1196.83
2005M8	1871.273	3791.909	14962.000	1300.72
2005M9	1837.693	3850.659	14154.545	1396.65
2005M10	1934.143	4056.167	12431.119	1483.20
2005M11	2056.970	4278.159	12235.045	1610.64
2005M12	2250.900	4577.025	13490.450	1819.33
2006M1	2383.302	4743.857	14660.810	2091.75
2006M2	2453.375	4974.975	14974.500	2219.73
2006M3	2432.478	5123.674	14925.478	2427.65
2006M4	2623.858	6404.444	18028.889	3068.34
2006M5	2852.071	8059.190	21131.333	3544.64
2006M6	2490.955	7222.773	20585.909	3197.59
2006M7	2511.833	7726.738	26185.714	3320.74
2006M8	2461.552	7690.250	30468.864	3339.97
2006M9	2484.381	7622.643	29702.619	3394.06
2006M10	2657.148	7497.409	32551.136	3829.60
